rank,model,tag,family,params,mae_te,rmse_te,r2_te,mae_tr,rmse_tr,r2_tr,train_time_s,n_epoch,stability_r2_diff
1,CG-Prob-Mamba (ours),probabilistic,Mamba+CG,191234,4731.05083588893,7451.152158128645,0.9471478890196796,5187.0,8078.0,0.9656,764.7,85,-0.018452110980320402
2,PatchTST,point,Transformer,402701,4756.302691149903,7423.788870283692,0.9475353598431046,5139.702944667783,7853.850534548365,0.9675097271107626,724.7,93,-0.019974367267658
3,CG-Mamba,point,Mamba+CG,191234,4776.982011636895,7566.611675803055,0.9454972561717891,5251.097025430507,8333.550080955252,0.963419621539954,560.7,65,-0.0179223653681649
4,DLinear,point,MLP,194,4782.07701302644,7504.487903229256,0.9463885445312936,5210.751840450868,7871.523232412738,0.9673633436789724,23.4,41,-0.0209747991476789
5,Mamba,point,Mamba,191234,4854.793775260286,7838.444456589604,0.9415108588072224,5343.551122977493,8486.228874070544,0.9620669663682364,542.3,70,-0.0205561075610142
6,iTransformer,point,Transformer,410253,4934.730010007847,7539.924067678107,0.9458810429497676,5500.695357379735,8100.821714976964,0.9654342293957028,195.6,60,-0.019553186445935
7,TimeMixer,point,Mixer,56081,5252.043479793664,7803.939420389206,0.942024666853472,5957.273820045036,8525.55530547529,0.9617145772422973,167.2,33,-0.0196899103888252
8,Autoformer,point,Transformer,277505,11583.554053644964,15957.645303978434,0.7575885723383735,17768.997930054917,23152.48572522789,0.7176528910388124,314.0,34,0.0399356812995611
